-1.000000	1.000000	-1.000000	1.000000	-1.000000	1.000000
-0.900000	1.000000	-0.900000	0.715000	-0.472500	0.207937
-0.800000	1.000000	-0.800000	0.460000	-0.080000	-0.233000
-0.700000	1.000000	-0.700000	0.235000	0.192500	-0.412062
-0.600000	1.000000	-0.600000	0.040000	0.360000	-0.408000
-0.500000	1.000000	-0.500000	-0.125000	0.437500	-0.289063
-0.400000	1.000000	-0.400000	-0.260000	0.440000	-0.113000
-0.300000	1.000000	-0.300000	-0.365000	0.382500	0.072937
-0.200000	1.000000	-0.200000	-0.440000	0.280000	0.232000
-0.100000	1.000000	-0.100000	-0.485000	0.147500	0.337937
-0.000000	1.000000	-0.000000	-0.500000	0.000000	0.375000
0.100000	1.000000	0.100000	-0.485000	-0.147500	0.337938
0.200000	1.000000	0.200000	-0.440000	-0.280000	0.232000
0.300000	1.000000	0.300000	-0.365000	-0.382500	0.072938
0.400000	1.000000	0.400000	-0.260000	-0.440000	-0.113000
0.500000	1.000000	0.500000	-0.125000	-0.437500	-0.289062
0.600000	1.000000	0.600000	0.040000	-0.360000	-0.408000
0.700000	1.000000	0.700000	0.235000	-0.192500	-0.412062
0.800000	1.000000	0.800000	0.460000	0.080000	-0.233000
0.900000	1.000000	0.900000	0.715000	0.472500	0.207937
1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
